Position X, Position Y,Position Z,Location
7.0,8.0,1.5,2
6.0,11.0,4.4,13
7.0,9.0,7.6,1
24.0,8.0,1.5,2
8.0,11.0,1.5,9
34.0,11.0,7.6,15
8.0,11.0,7.6,8
32.0,22.0,4.4,6
30.0,8.0,7.6,15
17.0,8.0,4.4,0
27.0,21.0,7.6,19
40.0,11.0,1.5,11
13.0,9.0,1.5,2
19.0,27.0,4.4,10
11.0,25.0,4.4,10
39.0,8.0,1.5,11
35.0,18.0,4.4,18
41.0,19.0,1.5,11
36.0,12.0,7.6,15
36.0,25.0,4.4,6
37.0,21.0,7.6,15
35.0,27.0,4.4,6
34.0,10.0,7.6,15
25.0,16.0,4.4,5
13.0,19.0,4.4,4
12.0,24.0,4.4,10
38.0,18.0,7.6,15
11.0,20.0,4.4,4
2.0,22.0,4.4,3
30.0,17.0,7.6,15
48.0,28.0,4.4,20
35.0,23.0,4.4,6
8.0,19.0,7.6,19
6.0,19.0,4.4,4
37.0,16.0,4.4,18
20.0,20.0,7.6,19
3.0,14.0,7.6,14
8.0,27.0,4.4,3
26.0,20.0,7.6,19
25.0,21.0,7.6,19
3.0,27.0,4.4,3
48.0,14.0,1.5,11
6.0,7.0,7.6,1
35.0,13.0,4.4,18
18.0,9.0,7.6,1
1.0,20.0,4.4,4
18.0,19.0,7.6,19
19.0,21.0,7.6,19
43.0,15.0,1.5,11
15.0,20.0,1.5,17
15.0,20.0,7.6,19
34.0,17.0,4.4,18
1.0,13.0,7.6,14
20.0,9.0,4.4,0
0.0,8.0,1.5,2
8.0,9.0,1.5,2
1.0,8.0,1.5,2
28.0,8.0,7.6,1
35.0,16.0,4.4,18
2.0,25.0,4.4,3
2.0,13.0,7.6,14
45.0,10.0,1.5,11
42.0,9.0,7.6,15
35.0,7.0,1.5,11
14.0,19.0,7.6,19
5.0,20.0,1.5,17
25.0,9.0,7.6,1
11.0,8.0,4.4,0
5.0,8.0,7.6,1
15.0,26.0,4.4,10
22.0,28.0,4.4,10
17.0,26.0,4.4,10
7.0,7.0,1.5,2
35.0,8.0,4.4,18
17.0,20.0,4.4,4
39.0,10.0,1.5,11
33.0,14.0,7.6,15
39.0,19.0,7.6,15
5.0,20.0,4.4,4
9.0,8.0,7.6,1
8.0,14.0,1.5,9
42.0,14.0,4.4,18
29.0,9.0,7.6,1
39.0,18.0,1.5,11
23.0,21.0,7.6,19
29.0,26.0,4.4,6
28.0,17.0,4.4,5
46.0,7.0,1.5,11
39.0,22.0,4.4,20
2.0,21.0,7.6,19
23.0,7.0,1.5,2
9.0,12.0,4.4,7
7.0,20.0,4.4,4
33.0,21.0,7.6,15
44.0,19.0,1.5,11
44.0,9.0,1.5,11
1.0,16.0,7.6,14
32.0,24.0,4.4,6
8.0,10.0,4.4,7
31.0,17.0,4.4,18
28.0,28.0,4.4,12
46.0,16.0,1.5,11
19.0,20.0,1.5,17
42.0,18.0,7.6,15
3.0,22.0,4.4,3
7.0,20.0,7.6,19
31.0,28.0,4.4,6
34.0,13.0,4.4,18
25.0,22.0,4.4,12
3.0,3.0,4.4,16
19.0,24.0,4.4,10
9.0,25.0,4.4,3
8.0,12.0,7.6,8
31.0,15.0,4.4,18
23.0,9.0,1.5,2
8.0,22.0,4.4,3
43.0,23.0,4.4,20
41.0,19.0,4.4,18
5.0,13.0,4.4,13
38.0,10.0,4.4,18
17.0,25.0,4.4,10
12.0,20.0,4.4,4
11.0,7.0,7.6,1
26.0,24.0,4.4,12
20.0,28.0,4.4,10
39.0,20.0,1.5,11
40.0,16.0,4.4,18
17.0,19.0,7.6,19
31.0,10.0,7.6,15
35.0,18.0,7.6,15
42.0,19.0,1.5,11
41.0,22.0,4.4,20
4.0,2.0,4.4,16
17.0,9.0,7.6,1
33.0,23.0,4.4,6
45.0,18.0,1.5,11
15.0,20.0,4.4,4
2.0,8.0,7.6,1
4.0,10.0,4.4,13
45.0,27.0,4.4,20
36.0,24.0,4.4,6
26.0,19.0,4.4,4
51.0,10.0,1.5,11
30.0,17.0,4.4,18
9.0,9.0,1.5,2
41.0,26.0,4.4,20
41.0,25.0,4.4,20
37.0,17.0,4.4,18
35.0,9.0,7.6,15
29.0,20.0,1.5,17
26.0,17.0,4.4,5
27.0,8.0,1.5,2
32.0,9.0,7.6,15
12.0,7.0,1.5,2
3.0,5.0,4.4,16
42.0,11.0,4.4,18
33.0,19.0,7.6,15
7.0,13.0,7.6,14
44.0,11.0,1.5,11
9.0,10.0,4.4,7
33.0,15.0,4.4,18
40.0,15.0,7.6,15
37.0,10.0,4.4,18
19.0,8.0,4.4,0
15.0,27.0,4.4,10
37.0,9.0,7.6,15
31.0,25.0,4.4,6
26.0,18.0,4.4,5
1.0,14.0,7.6,14
21.0,24.0,4.4,10
35.0,15.0,4.4,18
31.0,27.0,4.4,6
13.0,28.0,4.4,10
42.0,15.0,4.4,18
9.0,21.0,7.6,19
2.0,17.0,7.6,14
40.0,16.0,7.6,15
4.0,4.0,4.4,16
7.0,8.0,4.4,0
19.0,26.0,4.4,10
36.0,12.0,4.4,18
35.0,17.0,4.4,18
38.0,10.0,1.5,11
44.0,24.0,4.4,20
19.0,20.0,7.6,19
49.0,24.0,4.4,20
41.0,24.0,4.4,20
25.0,27.0,4.4,12
37.0,8.0,7.6,15
28.0,24.0,4.4,12
39.0,11.0,7.6,15
1.0,25.0,4.4,3
40.0,19.0,4.4,18
2.0,7.0,1.5,2
33.0,27.0,4.4,6
11.0,8.0,7.6,1
21.0,19.0,4.4,4
36.0,19.0,4.4,18
10.0,8.0,4.4,0
14.0,8.0,7.6,1
22.0,19.0,4.4,4
24.0,28.0,4.4,10
4.0,27.0,4.4,3
46.0,8.0,1.5,11
39.0,16.0,1.5,11
30.0,7.0,7.6,15
38.0,23.0,4.4,6
40.0,12.0,4.4,18
13.0,8.0,1.5,2
10.0,9.0,4.4,0
41.0,11.0,1.5,11
17.0,7.0,1.5,2
32.0,28.0,4.4,6
34.0,9.0,7.6,15
3.0,20.0,4.4,4
28.0,9.0,4.4,0
25.0,17.0,4.4,5
30.0,9.0,4.4,18
38.0,20.0,7.6,15
37.0,13.0,7.6,15
20.0,20.0,1.5,17
33.0,25.0,4.4,6
8.0,26.0,4.4,3
5.0,14.0,7.6,14
38.0,19.0,7.6,15
34.0,20.0,1.5,17
28.0,19.0,7.6,19
8.0,15.0,7.6,8
15.0,8.0,4.4,0
42.0,23.0,4.4,20
9.0,28.0,4.4,3
34.0,8.0,7.6,15
13.0,21.0,7.6,19
39.0,19.0,1.5,11
20.0,26.0,4.4,10
5.0,21.0,4.6,19
22.0,15.0,4.4,5
3.0,4.0,4.4,16
4.0,1.0,4.4,16
45.0,20.0,1.5,11
3.0,10.0,7.6,14
17.0,20.0,7.6,19
31.0,9.0,1.5,2
32.0,16.0,4.4,18
37.0,19.0,1.5,11
45.0,12.0,1.5,11
22.0,9.0,1.5,2
50.0,7.0,1.5,11
30.0,25.0,4.4,6
38.0,15.0,7.6,15
40.0,27.0,4.4,20
10.0,20.0,4.4,4
23.0,19.0,1.5,17
30.0,20.0,4.4,18
48.0,13.0,1.5,11
48.0,27.0,4.4,20
41.0,12.0,7.6,15
40.0,25.0,4.4,20
30.0,18.0,7.6,15
13.0,19.0,7.6,19
46.0,13.0,1.5,11
46.0,26.0,4.4,20
25.0,25.0,4.4,12
1.0,18.0,7.6,14
2.0,11.0,7.6,14
6.0,20.0,7.6,19
15.0,19.0,7.6,19
4.0,19.0,7.6,19
32.0,20.0,7.6,15
21.0,15.0,4.4,5
29.0,23.0,4.4,6
1.0,15.0,7.6,14
36.0,17.0,4.4,18
45.0,25.0,4.4,20
4.0,6.0,4.4,16
33.0,9.0,4.4,18
32.0,27.0,4.4,6
28.0,8.0,1.5,2
25.0,8.0,4.4,0
19.0,23.0,4.4,10
3.0,17.0,7.6,14
3.0,19.0,1.5,17
36.0,11.0,1.5,11
9.0,16.0,7.6,8
9.0,17.0,4.4,7
35.0,20.0,4.4,18
34.0,27.0,4.4,6
27.0,27.0,4.4,12
38.0,11.0,1.5,11
39.0,7.0,1.5,11
5.0,23.0,4.4,3
24.0,9.0,4.4,0
38.0,13.0,1.5,11
5.0,28.0,4.4,3
9.0,14.0,1.5,9
32.0,8.0,7.6,15
12.0,26.0,4.4,10
11.0,26.0,4.4,10
12.0,20.0,1.5,17
35.0,13.0,1.5,11
2.0,14.0,7.6,14
2.0,28.0,4.4,3
39.0,15.0,7.6,15
6.0,20.0,4.4,4
2.0,24.0,4.4,3
2.0,13.0,4.4,13
6.0,16.0,7.6,14
7.0,7.0,4.4,0
14.0,9.0,1.5,2
42.0,13.0,7.6,15
47.0,13.0,1.5,11
37.0,10.0,1.5,11
23.0,15.0,4.4,5
22.0,18.0,4.4,5
24.0,27.0,4.4,10
42.0,16.0,7.6,15
18.0,20.0,4.4,4
33.0,17.0,7.6,15
42.0,13.0,1.5,11
35.0,11.0,4.4,18
38.0,10.0,7.6,15
34.0,18.0,4.4,18
38.0,24.0,4.4,6
42.0,10.0,1.5,11
40.0,18.0,4.4,18
36.0,14.0,1.5,11
36.0,15.0,1.5,11
38.0,21.0,7.6,15
40.0,16.0,1.5,11
43.0,22.0,4.4,20
37.0,7.0,7.6,15
1.0,19.0,1.5,17
28.0,20.0,4.4,4
3.0,9.0,4.4,0
1.0,20.0,1.5,17
40.0,24.0,4.4,20
17.0,27.0,4.4,10
32.0,7.0,7.6,15
47.0,20.0,1.5,11
11.0,19.0,4.4,4
36.0,15.0,4.4,18
26.0,19.0,7.6,19
47.0,8.0,1.5,11
31.0,8.0,4.4,18
3.0,9.0,1.5,2
18.0,9.0,4.4,0
35.0,12.0,4.4,18
2.0,12.0,7.6,14
16.0,23.0,4.4,10
7.0,7.0,7.6,1
35.0,20.0,7.6,15
37.0,27.0,4.4,6
16.0,22.0,4.4,10
47.0,7.0,1.5,11
43.0,10.0,1.5,11
22.0,19.0,7.6,19
13.0,23.0,4.4,10
50.0,9.0,1.5,11
13.0,25.0,4.4,10
40.0,14.0,1.5,11
21.0,9.0,7.6,1
1.0,4.0,4.4,16
36.0,20.0,7.6,15
16.0,9.0,1.5,2
37.0,26.0,4.4,6
7.0,26.0,4.4,3
49.0,10.0,1.5,11
1.0,28.0,4.4,3
10.0,23.0,4.4,10
5.0,8.0,4.4,0
26.0,20.0,1.5,17
4.0,5.0,4.4,16
36.0,7.0,1.5,11
42.0,15.0,7.6,15
35.0,24.0,4.4,6
18.0,7.0,1.5,2
10.0,19.0,4.4,4
3.0,20.0,1.5,17
27.0,18.0,4.4,5
3.0,13.0,7.6,14
5.0,15.0,7.6,14
15.0,22.0,4.4,10
11.0,9.0,4.4,0
39.0,15.0,1.5,11
31.0,17.0,7.6,15
34.0,22.0,4.4,6
30.0,15.0,7.6,15
34.0,13.0,7.6,15
1.0,23.0,4.4,3
39.0,14.0,7.6,15
5.0,8.0,1.5,2
42.0,12.0,4.4,18
19.0,8.0,7.6,1
39.0,21.0,7.6,15
32.0,15.0,7.6,15
30.0,19.0,7.6,15
41.0,17.0,7.6,15
9.0,26.0,4.4,3
23.0,20.0,4.4,4
46.0,11.0,1.5,11
34.0,19.0,1.5,17
2.0,11.0,4.4,13
8.0,24.0,4.4,3
18.0,27.0,4.4,10
5.0,9.0,4.4,0
21.0,25.0,4.4,10
9.0,9.0,7.6,1
33.0,20.0,1.5,17
34.0,23.0,4.4,6
40.0,17.0,7.6,15
43.0,7.0,1.5,11
10.0,19.0,7.6,19
2.0,19.0,4.4,4
34.0,10.0,1.5,11
18.0,28.0,4.4,10
28.0,21.0,7.6,19
20.0,20.0,4.4,4
19.0,9.0,4.4,0
32.0,8.0,1.5,2
9.0,23.0,4.4,3
34.0,10.0,4.4,18
7.0,10.0,7.6,14
47.0,25.0,4.4,20
38.0,7.0,1.5,11
45.0,22.0,4.4,20
47.0,14.0,1.5,11
34.0,7.0,7.6,15
17.0,21.0,7.6,19
1.0,19.0,4.4,4
2.0,16.0,7.6,14
14.0,28.0,4.4,10
49.0,7.0,1.5,11
3.0,18.0,7.6,14
4.0,17.0,7.6,14
20.0,9.0,1.5,2
7.0,11.0,7.6,14
31.0,24.0,4.4,6
34.0,28.0,4.4,6
18.0,20.0,1.5,17
39.0,25.0,4.4,20
44.0,7.0,1.5,11
24.0,23.0,4.4,10
36.0,23.0,4.4,6
35.0,10.0,7.6,15
42.0,20.0,7.6,15
41.0,16.0,7.6,15
40.0,13.0,4.4,18
30.0,16.0,4.4,18
35.0,28.0,4.4,6
40.0,12.0,7.6,15
48.0,10.0,1.5,11
39.0,14.0,4.4,18
7.0,9.0,1.5,2
42.0,7.0,7.6,15
10.0,21.0,7.6,19
11.0,9.0,1.5,2
1.0,26.0,4.4,3
47.0,23.0,4.4,20
16.0,20.0,4.4,4
8.0,10.0,7.6,8
5.0,18.0,7.6,14
2.0,20.0,4.4,4
6.0,14.0,7.6,14
36.0,7.0,7.6,15
41.0,11.0,4.4,18
10.0,20.0,7.6,19
44.0,14.0,1.5,11
48.0,8.0,1.5,11
21.0,20.0,7.6,19
24.0,26.0,4.4,10
8.0,15.0,4.4,7
39.0,17.0,4.4,18
9.0,11.0,1.5,9
8.0,14.0,4.4,7
34.0,21.0,7.6,15
33.0,9.0,7.6,15
13.0,8.0,4.4,0
38.0,8.0,4.4,18
40.0,13.0,7.6,15
17.0,7.0,7.6,1
38.0,20.0,4.4,18
42.0,21.0,7.6,15
30.0,28.0,4.4,6
33.0,9.0,1.5,2
42.0,28.0,4.4,20
36.0,10.0,1.5,11
21.0,9.0,1.5,2
31.0,9.0,4.4,18
30.0,10.0,7.6,15
38.0,9.0,4.4,18
26.0,27.0,4.4,12
3.0,12.0,4.4,13
4.0,24.0,4.4,3
35.0,8.0,7.6,15
9.0,13.0,7.6,8
9.0,16.0,4.4,7
24.0,15.0,4.4,5
43.0,16.0,1.5,11
26.0,22.0,4.4,12
3.0,25.0,4.4,3
10.0,7.0,1.5,2
14.0,27.0,4.4,10
29.0,19.0,1.5,17
49.0,9.0,1.5,11
13.0,22.0,4.4,10
42.0,15.0,1.5,11
30.0,20.0,7.6,15
24.0,20.0,4.4,4
40.0,18.0,7.6,15
31.0,15.0,7.6,15
21.0,20.0,1.5,17
44.0,15.0,1.5,11
8.0,18.0,1.5,9
47.0,22.0,4.4,20
25.0,18.0,4.4,5
4.0,28.0,4.4,3
3.0,24.0,4.4,3
13.0,9.0,7.6,1
12.0,9.0,7.6,1
5.0,16.0,7.6,14
36.0,20.0,4.4,18
11.0,19.0,7.6,19
41.0,20.0,4.4,18
36.0,11.0,7.6,15
25.0,8.0,1.5,2
24.0,21.0,4.4,10
44.0,13.0,1.5,11
43.0,17.0,1.5,11
43.0,9.0,1.5,11
28.0,20.0,7.6,19
28.0,25.0,4.4,12
25.0,26.0,4.4,12
4.0,15.0,7.6,14
8.0,21.0,7.6,19
41.0,10.0,7.6,15
36.0,20.0,1.5,11
29.0,7.0,1.5,2
1.0,11.0,4.4,13
21.0,9.0,4.4,0
9.0,18.0,4.4,7
26.0,21.0,7.6,19
36.0,13.0,4.4,18
37.0,15.0,7.6,15
19.0,19.0,7.6,19
40.0,19.0,1.5,11
49.0,28.0,4.4,20
13.0,8.0,7.6,1
33.0,22.0,4.4,6
21.0,16.0,4.4,5
36.0,19.0,7.6,15
32.0,19.0,7.6,15
29.0,24.0,4.4,6
24.0,20.0,1.5,17
8.0,18.0,7.6,8
36.0,22.0,4.4,6
34.0,15.0,4.4,18
37.0,12.0,7.6,15
37.0,17.0,1.5,11
4.0,20.0,7.6,19
8.0,16.0,4.4,7
11.0,28.0,4.4,10
33.0,20.0,7.6,15
12.0,19.0,7.6,19
10.0,27.0,4.4,10
7.0,16.0,7.6,14
23.0,8.0,7.6,1
5.0,27.0,4.4,3
24.0,20.0,7.6,19
28.0,27.0,4.4,12
38.0,28.0,4.4,6
36.0,8.0,1.5,11
6.0,9.0,7.6,1
46.0,25.0,4.4,20
34.0,25.0,4.4,6
31.0,7.0,1.5,2
25.0,20.0,1.5,17
1.0,7.0,7.6,1
41.0,17.0,4.4,18
23.0,20.0,1.5,17
9.0,24.0,4.4,3
39.0,20.0,7.6,15
6.0,15.0,7.6,14
10.0,22.0,4.4,10
39.0,10.0,4.4,18
49.0,26.0,4.4,20
33.0,15.0,7.6,15
18.0,20.0,7.6,19
28.0,20.0,1.5,17
33.0,8.0,4.4,18
32.0,10.0,7.6,15
5.0,9.0,7.6,1
16.0,20.0,1.5,17
37.0,14.0,1.5,11
24.0,19.0,1.5,17
23.0,7.0,7.6,1
29.0,19.0,7.6,19
31.0,19.0,4.4,18
43.0,24.0,4.4,20
36.0,17.0,1.5,11
19.0,7.0,1.5,2
13.0,20.0,1.5,17
7.0,22.0,4.4,3
1.0,2.0,4.4,16
30.0,27.0,4.4,6
34.0,12.0,4.4,18
17.0,9.0,1.5,2
42.0,9.0,1.5,11
50.0,20.0,1.5,11
12.0,25.0,4.4,10
48.0,25.0,4.4,20
21.0,8.0,1.5,2
44.0,23.0,4.4,20
9.0,17.0,1.5,9
9.0,20.0,1.5,17
39.0,12.0,4.4,18
39.0,8.0,4.4,18
13.0,7.0,7.6,1
32.0,20.0,1.5,17
8.0,14.0,7.6,8
14.0,20.0,1.5,17
21.0,8.0,7.6,1
40.0,15.0,1.5,11
4.0,26.0,4.4,3
20.0,9.0,7.6,1
39.0,18.0,4.4,18
1.0,7.0,1.5,2
3.0,1.0,4.4,16
44.0,22.0,4.4,20
41.0,10.0,1.5,11
17.0,8.0,1.5,2
21.0,7.0,1.5,2
35.0,10.0,1.5,11
29.0,27.0,4.4,6
20.0,7.0,1.5,2
39.0,12.0,1.5,11
29.0,21.0,7.6,19
9.0,11.0,4.4,7
13.0,20.0,4.4,4
34.0,9.0,1.5,2
48.0,19.0,1.5,11
21.0,7.0,7.6,1
15.0,9.0,4.4,0
42.0,13.0,4.4,18
40.0,10.0,4.4,18
20.0,21.0,7.6,19
41.0,10.0,4.4,18
47.0,28.0,4.4,20
4.0,11.0,7.6,14
24.0,8.0,4.4,0
6.0,8.0,7.6,1
21.0,27.0,4.4,10
31.0,8.0,1.5,2
19.0,19.0,4.4,4
12.0,9.0,1.5,2
3.0,7.0,7.6,1
48.0,22.0,4.4,20
27.0,23.0,4.4,12
1.0,20.0,7.6,19
33.0,16.0,7.6,15
9.0,15.0,1.5,9
41.0,16.0,4.4,18
35.0,17.0,1.5,11
24.0,25.0,4.4,10
24.0,7.0,7.6,1
37.0,11.0,1.5,11
28.0,19.0,1.5,17
24.0,18.0,4.4,5
32.0,21.0,7.6,15
33.0,19.0,4.4,18
35.0,10.0,4.4,18
16.0,27.0,4.4,10
5.0,22.0,4.4,3
6.0,19.0,7.6,19
15.0,23.0,4.4,10
12.0,28.0,4.4,10
1.0,12.0,4.4,13
23.0,20.0,7.6,19
19.0,8.0,1.5,2
24.0,9.0,7.6,1
35.0,18.0,1.5,11
25.0,9.0,4.4,0
36.0,12.0,1.5,11
41.0,14.0,7.6,15
22.0,23.0,4.4,10
25.0,7.0,1.5,2
42.0,19.0,7.6,15
37.0,22.0,4.4,6
6.0,20.0,1.5,17
37.0,18.0,1.5,11
34.0,14.0,7.6,15
51.0,9.0,1.5,11
1.0,10.0,4.4,13
30.0,22.0,4.4,6
27.0,20.0,1.5,17
23.0,26.0,4.4,10
38.0,25.0,4.4,6
18.0,19.0,1.5,17
30.0,24.0,4.4,6
36.0,8.0,7.6,15
36.0,16.0,1.5,11
16.0,26.0,4.4,10
5.0,9.0,1.5,2
37.0,25.0,4.4,6
38.0,14.0,4.4,18
20.0,27.0,4.4,10
43.0,19.0,1.5,11
38.0,27.0,4.4,6
3.0,19.0,4.4,4
30.0,8.0,1.5,2
28.0,8.0,4.4,0
32.0,8.0,4.4,18
15.0,19.0,1.5,17
14.0,9.0,7.6,1
27.0,20.0,7.6,19
48.0,15.0,1.5,11
30.0,16.0,7.6,15
38.0,8.0,1.5,11
16.0,19.0,7.6,19
38.0,11.0,7.6,15
7.0,27.0,4.4,3
1.0,17.0,7.6,14
31.0,20.0,4.4,18
7.0,24.0,4.4,3
33.0,26.0,4.4,6
26.0,7.0,7.6,1
8.0,19.0,4.4,4
2.0,27.0,4.4,3
6.0,12.0,4.4,13
35.0,26.0,4.4,6
14.0,9.0,4.4,0
49.0,27.0,4.4,20
43.0,13.0,1.5,11
34.0,15.0,7.6,15
33.0,28.0,4.4,6
42.0,10.0,4.4,18
25.0,15.0,4.4,5
27.0,15.0,4.4,5
22.0,24.0,4.4,10
30.0,26.0,4.4,6
35.0,12.0,1.5,11
38.0,13.0,7.6,15
1.0,21.0,7.6,19
9.0,15.0,4.4,7
43.0,25.0,4.4,20
30.0,15.0,4.4,18
10.0,9.0,1.5,2
27.0,9.0,7.6,1
23.0,9.0,4.4,0
41.0,18.0,7.6,15
4.0,8.0,7.6,1
16.0,24.0,4.4,10
9.0,9.0,4.4,0
2.0,18.0,7.6,14
2.0,4.0,4.4,16
38.0,17.0,1.5,11
6.0,25.0,4.4,3
22.0,20.0,1.5,17
8.0,17.0,7.6,8
27.0,19.0,7.6,19
6.0,21.0,7.6,19
5.0,19.0,4.4,4
43.0,26.0,4.4,20
7.0,19.0,7.6,19
29.0,15.0,4.4,18
36.0,13.0,1.5,11
32.0,19.0,1.5,17
41.0,12.0,1.5,11
11.0,22.0,4.4,10
36.0,14.0,4.4,18
20.0,8.0,4.4,0
41.0,13.0,1.5,11
8.0,7.0,7.6,1
2.0,3.0,4.4,16
6.0,8.0,1.5,2
2.0,7.0,7.6,1
40.0,21.0,7.6,15
14.0,22.0,4.4,10
9.0,10.0,1.5,9
36.0,15.0,7.6,15
35.0,15.0,7.6,15
35.0,16.0,7.6,15
24.0,7.0,1.5,2
45.0,8.0,1.5,11
41.0,23.0,4.4,20
30.0,18.0,4.4,18
22.0,7.0,1.5,2
27.0,19.0,1.5,17
16.0,28.0,4.4,10
36.0,8.0,4.4,18
10.0,26.0,4.4,10
2.0,20.0,1.5,17
45.0,7.0,1.5,11
35.0,22.0,4.4,6
45.0,16.0,1.5,11
47.0,19.0,1.5,11
10.0,7.0,7.6,1
29.0,8.0,7.6,1
23.0,9.0,7.6,1
12.0,19.0,4.4,4
39.0,11.0,1.5,11
32.0,18.0,4.4,18
14.0,19.0,1.5,17
34.0,11.0,4.4,18
32.0,20.0,4.4,18
42.0,18.0,1.5,11
41.0,12.0,4.4,18
43.0,18.0,1.5,11
15.0,7.0,1.5,2
35.0,19.0,7.6,15
48.0,17.0,1.5,11
9.0,22.0,4.4,3
1.0,11.0,7.6,14
26.0,16.0,4.4,5
31.0,18.0,4.4,18
23.0,27.0,4.4,10
32.0,17.0,4.4,18
8.0,8.0,7.6,1
25.0,23.0,4.4,12
39.0,9.0,7.6,15
49.0,25.0,4.4,20
10.0,8.0,7.6,1
47.0,24.0,4.4,20
37.0,20.0,1.5,11
11.0,19.0,1.5,17
38.0,12.0,4.4,18
48.0,24.0,4.4,20
29.0,9.0,4.4,0
41.0,15.0,1.5,11
3.0,16.0,7.6,14
47.0,12.0,1.5,11
5.0,11.0,4.4,13
36.0,16.0,4.4,18
6.0,13.0,4.4,13
44.0,12.0,1.5,11
4.0,21.0,7.6,19
2.0,1.0,4.4,16
31.0,21.0,7.6,15
48.0,9.0,1.5,11
22.0,25.0,4.4,10
39.0,13.0,4.4,18
46.0,20.0,1.5,11
38.0,22.0,4.4,6
49.0,23.0,4.4,20
23.0,17.0,4.4,5
39.0,20.0,4.4,18
45.0,14.0,1.5,11
1.0,10.0,7.6,14
16.0,9.0,7.6,1
38.0,20.0,1.5,11
29.0,16.0,4.4,18
38.0,9.0,7.6,15
38.0,9.0,1.5,11
9.0,10.0,7.6,8
